ID,Right,Wrong
strip001,Artifact,Ventricular Ectopy
strip002,Artifact,Ventricular Ectopy
strip003,Artifact,Ventricular Ectopy
strip004,Ventricular Ectopy,Artifact
strip005,Artifact,Ventricular Ectopy
strip006,Artifact,Ventricular Ectopy
strip007,Artifact,Atrial Flutter
strip008,Ventricular Ectopy,Artifact
strip009,Artifact,Atrial Flutter
strip010,Ventricular Ectopy,Artifact
strip011,Artifact,Ventricular Ectopy
strip012,Artifact,Ventricular Ectopy
strip013,SV Ectopy,Artifact
strip014,SV Ectopy,Artifact
strip015,Artifact,Ventricular Ectopy
strip016,Artifact,Ventricular Ectopy
strip017,Artifact,SV Ectopy
strip018,Artifact,Ventricular Ectopy
strip019,Artifact,Ventricular Ectopy
strip020,Artifact,Ventricular Ectopy
strip021,Artifact,Ventricular Ectopy
strip022,Artifact,SV Ectopy
strip023,Ventricular Ectopy,Artifact
strip024,Artifact,Ventricular Ectopy
strip025,Artifact,Atrial Flutter
strip026,Artifact,Ventricular Ectopy
strip027,Ventricular Ectopy,Artifact
strip028,Ventricular Ectopy,Artifact
strip029,Ventricular Ectopy,Artifact
strip030,Ventricular Ectopy,Artifact
strip031,SV Ectopy,Artifact
strip032,Ventricular Ectopy,Artifact
strip033,Artifact,Ventricular Ectopy
strip034,Artifact,Ventricular Ectopy
strip035,SV Ectopy,Artifact
strip036,Artifact,Ventricular Ectopy
strip037,Artifact,Ventricular Ectopy
strip038,SV Ectopy,Artifact
strip039,Artifact,Ventricular Ectopy
strip040,SV Ectopy,Artifact
strip041,Artifact,SV Ectopy
strip042,Artifact,Ventricular Ectopy
strip043,Artifact,SV Ectopy
strip044,Ventricular Ectopy,Artifact
strip045,Artifact,Ventricular Ectopy
strip046,Artifact,Ventricular Ectopy
strip047,Artifact,Ventricular Ectopy
strip048,Artifact,SV Ectopy
strip049,Artifact,Ventricular Ectopy
strip050,Artifact,Ventricular Ectopy
